datetime,ws
18/10/2018,0.95
19/10/2018,0.96
20/10/2018,1.22
21/10/2018,1.18
22/10/2018,1.22
23/10/2018,0.86
24/10/2018,0.97
25/10/2018,1.02
26/10/2018,1.04
27/10/2018,0.81
28/10/2018,1.31
29/10/2018,0.8
30/10/2018,1.07
31/10/2018,0.79
01/11/2018,0.95
02/11/2018,0.81
03/11/2018,0.87
04/11/2018,1.01
05/11/2018,0.85
06/11/2018,0.98
07/11/2018,0.97
08/11/2018,0.62
09/11/2018,0.68
10/11/2018,1.04
11/11/2018,0.8
12/11/2018,1
13/11/2018,1.33
14/11/2018,1.87
15/11/2018,1.17
16/11/2018,1.25
17/11/2018,1.15
18/11/2018,0.68
19/11/2018,0.95
20/11/2018,0.97
21/11/2018,1.11
22/11/2018,0.89
23/11/2018,0.85
24/11/2018,1.04
25/11/2018,0.78
26/11/2018,0.63
27/11/2018,0.98
28/11/2018,0.73
29/11/2018,0.91
30/11/2018,0.66
01/12/2018,0.58
02/12/2018,0.71
03/12/2018,0.51
04/12/2018,0.59
05/12/2018,0.83
06/12/2018,0.94
07/12/2018,1.02
08/12/2018,1
09/12/2018,0.51
10/12/2018,0.64
11/12/2018,1.05
12/12/2018,0.8
13/12/2018,1.1
14/12/2018,1.81
15/12/2018,1.58
16/12/2018,1.38
17/12/2018,0.15
18/12/2018,0.76
19/12/2018,1.25
20/12/2018,1.56
21/12/2018,1.48
22/12/2018,1.06
23/12/2018,2.2
24/12/2018,1.83
25/12/2018,1.87
26/12/2018,1.6
27/12/2018,2.24
28/12/2018,2.47
29/12/2018,2.67
30/12/2018,2.42
31/12/2018,2.18
01/01/2019,1.6
02/01/2019,2.1
03/01/2019,1.78
04/01/2019,1.63
05/01/2019,1.04
06/01/2019,0.95
07/01/2019,1.43
08/01/2019,1.1
09/01/2019,1.03
10/01/2019,0.99
11/01/2019,1.34
12/01/2019,1.28
13/01/2019,0.85
14/01/2019,0.8
15/01/2019,1.76
16/01/2019,1.03
17/01/2019,1.74
18/01/2019,1.15
19/01/2019,0.63
20/01/2019,0.93
21/01/2019,1.03
22/01/2019,0.77
23/01/2019,1.09
24/01/2019,1.6
25/01/2019,0.65
26/01/2019,1.9
27/01/2019,1.31
28/01/2019,1.54
29/01/2019,1.4
30/01/2019,1.32
31/01/2019,0.66
01/02/2019,0.87
02/02/2019,1.14
03/02/2019,1.17
04/02/2019,1.38
05/02/2019,1.09
06/02/2019,1.02
07/02/2019,1.24
08/02/2019,1.24
09/02/2019,0.97
10/02/2019,1.45
11/02/2019,1.04
12/02/2019,0.13
13/02/2019,0
14/02/2019,0
15/02/2019,0
16/02/2019,0
17/02/2019,0
18/02/2019,0
19/02/2019,0.74
20/02/2019,0.57
21/02/2019,0.66
22/02/2019,0.84
23/02/2019,0.97
24/02/2019,0.95
25/02/2019,1.09
26/02/2019,0.98
27/02/2019,0.94
28/02/2019,0.91
01/03/2019,1.35
02/03/2019,1.31
03/03/2019,0.56
04/03/2019,0.94
05/03/2019,0.94
06/03/2019,0.54
07/03/2019,0.46
08/03/2019,1.09
09/03/2019,1.03
10/03/2019,0.82
11/03/2019,1.09
12/03/2019,1.09
13/03/2019,0.84
14/03/2019,0.8
15/03/2019,1.12
16/03/2019,1.27
17/03/2019,0.88
18/03/2019,1.12
19/03/2019,1.61
20/03/2019,1.61
21/03/2019,1.33
22/03/2019,1.58
23/03/2019,2.05
24/03/2019,1.65
25/03/2019,0.75
26/03/2019,1.28
27/03/2019,0.97
28/03/2019,0.64
29/03/2019,1.15
30/03/2019,0.61
31/03/2019,0.75
01/04/2019,0.88
02/04/2019,0.83
03/04/2019,0.8
04/04/2019,1.02
05/04/2019,0.91
06/04/2019,0.81
07/04/2019,0.86
08/04/2019,1
09/04/2019,0.83
10/04/2019,0.94
11/04/2019,1.24
12/04/2019,1.2
13/04/2019,1.26
14/04/2019,0.64
15/04/2019,0.94
16/04/2019,0.8
17/04/2019,0.68
18/04/2019,0.99
19/04/2019,0.89
20/04/2019,0.53
21/04/2019,1.05
22/04/2019,1.3
23/04/2019,1.19
24/04/2019,0.65
25/04/2019,0.94
26/04/2019,0.83
27/04/2019,0.78
28/04/2019,0.62
29/04/2019,0.66
30/04/2019,0.9
01/05/2019,1.67
02/05/2019,1.22
03/05/2019,0.88
04/05/2019,0.7
05/05/2019,1.12
06/05/2019,0.51
07/05/2019,0.71
08/05/2019,0.8
09/05/2019,1.02
10/05/2019,0.67
11/05/2019,0.78
12/05/2019,0.76
13/05/2019,0.88
14/05/2019,1.33
15/05/2019,1.04
16/05/2019,1.03
17/05/2019,0.77
18/05/2019,0.77
19/05/2019,1.06
20/05/2019,1.01
21/05/2019,1.28
22/05/2019,1.13
23/05/2019,0.93
24/05/2019,0.74
25/05/2019,0.54
26/05/2019,0.35
27/05/2019,0.15
28/05/2019,0.01
29/05/2019,0.14
30/05/2019,0.53
31/05/2019,0.93
01/06/2019,0.98
02/06/2019,1.24
03/06/2019,0.81
04/06/2019,0.62
05/06/2019,0.23
06/06/2019,0.43
07/06/2019,1.03
08/06/2019,0.85
09/06/2019,0.27
10/06/2019,0.53
11/06/2019,0.57
12/06/2019,0.49
13/06/2019,0.83
14/06/2019,0.65
15/06/2019,1.07
16/06/2019,1.23
17/06/2019,1.19
18/06/2019,0.6
19/06/2019,0.54
20/06/2019,0.72
21/06/2019,0.99
22/06/2019,0.99
23/06/2019,1.09
24/06/2019,0.95
25/06/2019,0.84
26/06/2019,0.92
27/06/2019,0.86
28/06/2019,0.83
29/06/2019,0.71
30/06/2019,0.97
01/07/2019,0.45
02/07/2019,0.28
03/07/2019,0.45
04/07/2019,0.53
05/07/2019,0.46
06/07/2019,0.74
07/07/2019,0.65
08/07/2019,0.35
09/07/2019,0.66
10/07/2019,0.25
11/07/2019,0.59
12/07/2019,0.44
13/07/2019,0.72
14/07/2019,1.15
15/07/2019,0.93
16/07/2019,0.61
17/07/2019,0.75
18/07/2019,0.93
19/07/2019,1.06
20/07/2019,0.58
21/07/2019,1
22/07/2019,0.74
23/07/2019,0.93
24/07/2019,1.38
25/07/2019,0.82
26/07/2019,1.03
27/07/2019,1.22
28/07/2019,1.15
29/07/2019,0.84
30/07/2019,0.93
31/07/2019,1.17
01/08/2019,0.72
02/08/2019,1.04
03/08/2019,0.55
04/08/2019,1.06
05/08/2019,1.01
06/08/2019,0.9
07/08/2019,0.7
08/08/2019,0.47
09/08/2019,0.8
10/08/2019,0.54
11/08/2019,0.61
12/08/2019,0.82
13/08/2019,0.66
14/08/2019,0.52
15/08/2019,0.83
16/08/2019,0.97
17/08/2019,1.09
18/08/2019,0.74
19/08/2019,1.16
20/08/2019,0.87
21/08/2019,1.22
22/08/2019,1.04
23/08/2019,1.01
24/08/2019,0.84
25/08/2019,1.13
26/08/2019,0.88
27/08/2019,1.07
28/08/2019,0.81
29/08/2019,0.45
30/08/2019,0.58
31/08/2019,0.82
01/09/2019,0.61
02/09/2019,0.96
03/09/2019,0.96
04/09/2019,0.75
05/09/2019,0.68
06/09/2019,0.93
07/09/2019,0.82
08/09/2019,0.74
09/09/2019,0.5
10/09/2019,0.89
11/09/2019,0.81
12/09/2019,1.04
13/09/2019,1.04
14/09/2019,1.11
15/09/2019,0.86
16/09/2019,0.86
17/09/2019,0.92
18/09/2019,0.72
19/09/2019,0.89
20/09/2019,1.78
21/09/2019,0.96
22/09/2019,1.07
23/09/2019,0.9
24/09/2019,1.02
25/09/2019,1.08
26/09/2019,1.4
27/09/2019,1.02
28/09/2019,1.01
29/09/2019,0.99
30/09/2019,0.63
01/10/2019,1.03
02/10/2019,1.41
03/10/2019,0.57
04/10/2019,0.53
05/10/2019,1.12
06/10/2019,0.44
07/10/2019,0.98
08/10/2019,0.57
09/10/2019,0.56
10/10/2019,0.26
11/10/2019,0.67
12/10/2019,0.29
13/10/2019,0.89
14/10/2019,1.24
15/10/2019,0.59
16/10/2019,0.92
17/10/2019,1.34
18/10/2019,1.13
19/10/2019,1.03
20/10/2019,0.82
21/10/2019,0.5
22/10/2019,0.85
23/10/2019,0.44
24/10/2019,0.8
25/10/2019,1.12
26/10/2019,1.07
27/10/2019,0.8
28/10/2019,0.7
29/10/2019,0.91
30/10/2019,1.21
31/10/2019,1.25
01/11/2019,1.2
02/11/2019,1.18
03/11/2019,0.6
04/11/2019,0.46
05/11/2019,0.68
06/11/2019,0.96
07/11/2019,0.64
08/11/2019,0.95
09/11/2019,1.24
10/11/2019,1.14
11/11/2019,0.32
12/11/2019,0.46
13/11/2019,0.45
14/11/2019,1.01
15/11/2019,0.57
16/11/2019,0.89
17/11/2019,0.98
18/11/2019,0.76
19/11/2019,0.81
20/11/2019,0.8
21/11/2019,0.51
22/11/2019,0.98
23/11/2019,1.15
24/11/2019,1.47
25/11/2019,1.04
26/11/2019,0.89
27/11/2019,0.97
28/11/2019,1.33
29/11/2019,0.78
30/11/2019,1
01/12/2019,1.91
02/12/2019,1.68
03/12/2019,1.67
04/12/2019,1.82
05/12/2019,1.56
06/12/2019,0.97
07/12/2019,1.25
08/12/2019,1.16
09/12/2019,1.42
10/12/2019,1.94
11/12/2019,0.63
12/12/2019,1.12
13/12/2019,1.22
14/12/2019,0.89
15/12/2019,1.01
16/12/2019,1.44
17/12/2019,1.11
18/12/2019,1.64
19/12/2019,1.91
20/12/2019,2.41
21/12/2019,1.88
22/12/2019,2.29
23/12/2019,2.39
24/12/2019,2.08
25/12/2019,1.19
26/12/2019,1.75
27/12/2019,1.71
28/12/2019,1.71
29/12/2019,1.67
30/12/2019,1.19
31/12/2019,2.58
01/01/2020,1.9
02/01/2020,1.22
03/01/2020,1.45
04/01/2020,1.71
05/01/2020,0.82
06/01/2020,1.26
07/01/2020,0.96
08/01/2020,0.94
09/01/2020,1.35
10/01/2020,0.37
11/01/2020,1.22
12/01/2020,1.52
13/01/2020,1.23
14/01/2020,1.69
15/01/2020,0.95
16/01/2020,1.02
17/01/2020,1.59
18/01/2020,0.75
19/01/2020,1.11
20/01/2020,1.22
21/01/2020,0.98
22/01/2020,1.15
23/01/2020,0.88
24/01/2020,0.52
25/01/2020,0.82
26/01/2020,1.26
27/01/2020,0.84
28/01/2020,1.12
29/01/2020,1.64
30/01/2020,1.25
31/01/2020,1.56
01/02/2020,0.67
02/02/2020,0.4
03/02/2020,0.53
04/02/2020,0.97
05/02/2020,1.04
06/02/2020,1
07/02/2020,1.03
08/02/2020,0.7
09/02/2020,0.66
10/02/2020,1.05
11/02/2020,0.83
12/02/2020,1
13/02/2020,1.01
14/02/2020,0.47
15/02/2020,0.97
16/02/2020,1.26
17/02/2020,0.69
18/02/2020,1.51
19/02/2020,1.77
20/02/2020,1.11
21/02/2020,1.25
22/02/2020,1.59
23/02/2020,2.41
24/02/2020,1.75
25/02/2020,0.75
26/02/2020,1.4
27/02/2020,0.93
28/02/2020,0.86
29/02/2020,0.86
01/03/2020,1.14
02/03/2020,0.99
03/03/2020,1.27
04/03/2020,1.26
05/03/2020,0.98
06/03/2020,1.79
07/03/2020,1.15
08/03/2020,1.48
09/03/2020,1.96
10/03/2020,1.84
11/03/2020,0.91
12/03/2020,0.85
13/03/2020,0.98
14/03/2020,0.99
15/03/2020,0.96
16/03/2020,0.96
17/03/2020,1.46
18/03/2020,0.62
19/03/2020,0.84
20/03/2020,0.62
21/03/2020,0.88
22/03/2020,0.46
23/03/2020,0.68
24/03/2020,1.21
25/03/2020,0.99
26/03/2020,0.79
27/03/2020,0.97
28/03/2020,0.98
29/03/2020,1.08
30/03/2020,0.62
31/03/2020,1.16
01/04/2020,1.14
02/04/2020,1.25
03/04/2020,0.82
04/04/2020,1.14
05/04/2020,1.13
06/04/2020,0.83
07/04/2020,1.59
08/04/2020,1.06
09/04/2020,0.72
10/04/2020,0.91
11/04/2020,0.82
12/04/2020,0.96
13/04/2020,0.93
14/04/2020,0.83
15/04/2020,0.62
16/04/2020,0.64
17/04/2020,1.23
18/04/2020,1.03
19/04/2020,1.08
20/04/2020,0.8
21/04/2020,0.74
22/04/2020,0.9
23/04/2020,1.26
24/04/2020,0.78
25/04/2020,0.61
26/04/2020,1
27/04/2020,0.66
28/04/2020,0.77
29/04/2020,0.87
30/04/2020,0.6
01/05/2020,1
02/05/2020,0.39
03/05/2020,1.03
04/05/2020,0.76
05/05/2020,1.02
06/05/2020,0.93
07/05/2020,0.85
08/05/2020,0.92
09/05/2020,0.54
10/05/2020,1.01
11/05/2020,0.83
12/05/2020,0.91
13/05/2020,1.01
14/05/2020,1.03
15/05/2020,1.33
16/05/2020,0.98
17/05/2020,0.95
18/05/2020,0.82
19/05/2020,0.86
20/05/2020,1.19
21/05/2020,0.63
22/05/2020,0.94
23/05/2020,0.85
24/05/2020,1.35
25/05/2020,0.92
26/05/2020,1.09
27/05/2020,1
28/05/2020,0.83
29/05/2020,0.88
30/05/2020,0.87
31/05/2020,1.2
01/06/2020,1.04
02/06/2020,0.97
03/06/2020,1.26
04/06/2020,1.45
05/06/2020,0.84
06/06/2020,0.62
07/06/2020,0.8
08/06/2020,1.05
09/06/2020,0.81
10/06/2020,1.21
11/06/2020,1.16
12/06/2020,0.9
13/06/2020,0.79
14/06/2020,0.83
15/06/2020,0.82
16/06/2020,1.21
17/06/2020,0.99
18/06/2020,0.7
19/06/2020,0.62
20/06/2020,0.74
21/06/2020,0.93
22/06/2020,0.88
23/06/2020,0.73
24/06/2020,0.78
25/06/2020,0.8
26/06/2020,0.78
27/06/2020,1.21
28/06/2020,1.01
29/06/2020,1.12
30/06/2020,1.06
01/07/2020,0.88
02/07/2020,1.87
03/07/2020,1.86
04/07/2020,1.69
05/07/2020,1.51
06/07/2020,1.34
07/07/2020,1.16
08/07/2020,0.99
09/07/2020,0.81
10/07/2020,0.63
11/07/2020,0.46
12/07/2020,0.28
13/07/2020,0.11
14/07/2020,0.89
15/07/2020,1.5
16/07/2020,0.93
17/07/2020,0.89
18/07/2020,0.75
19/07/2020,0.67
20/07/2020,0.99
21/07/2020,1
22/07/2020,0.94
23/07/2020,0.77
24/07/2020,1.05
25/07/2020,1.07
26/07/2020,1.19
27/07/2020,0.82
28/07/2020,1.03
29/07/2020,0.96
30/07/2020,1
31/07/2020,0.73
01/08/2020,0.76
02/08/2020,1.06
03/08/2020,1.14
04/08/2020,1.06
05/08/2020,1
06/08/2020,0.99
07/08/2020,0.95
08/08/2020,0.74
09/08/2020,0.86
10/08/2020,1.21
11/08/2020,0.97
12/08/2020,1.11
13/08/2020,0.64
14/08/2020,0.83
15/08/2020,1.08
16/08/2020,0.88
17/08/2020,0.84
18/08/2020,0.87
19/08/2020,0.96
20/08/2020,1.6
21/08/2020,1.38
22/08/2020,1.04
23/08/2020,0.91
24/08/2020,1.28
25/08/2020,1.51
26/08/2020,1.03
27/08/2020,0.99
28/08/2020,1.38
29/08/2020,1.01
30/08/2020,1.08
31/08/2020,1.2
01/09/2020,1.12
02/09/2020,1.72
03/09/2020,2.84
04/09/2020,1.37
05/09/2020,1.2
06/09/2020,0.78
07/09/2020,1.14
08/09/2020,1.54
09/09/2020,0.98
10/09/2020,1.25
11/09/2020,0.83
12/09/2020,1.38
13/09/2020,1.11
14/09/2020,1.27
15/09/2020,0.96
16/09/2020,1.25
17/09/2020,1.17
18/09/2020,1.34
19/09/2020,1.46
20/09/2020,0.69
21/09/2020,1.29
22/09/2020,0.83
23/09/2020,1.08
24/09/2020,1.01
25/09/2020,0.82
26/09/2020,0.82
27/09/2020,1.1
28/09/2020,1.1
29/09/2020,0.82
30/09/2020,1.32
01/10/2020,1.28
02/10/2020,1.4
03/10/2020,0.7
04/10/2020,1.43
05/10/2020,1.12
06/10/2020,1.15
07/10/2020,0.97
08/10/2020,1.14
09/10/2020,0.89
10/10/2020,0.83
11/10/2020,0.72
12/10/2020,0.86
13/10/2020,0.74
14/10/2020,1.32
15/10/2020,1.4
16/10/2020,0.87
17/10/2020,0.84
18/10/2020,0.9
19/10/2020,0.79
20/10/2020,1
21/10/2020,0.74
22/10/2020,1.8
23/10/2020,1.12
24/10/2020,1.35
25/10/2020,0.95
26/10/2020,0.91
27/10/2020,0.47
28/10/2020,0.87
29/10/2020,0.82
30/10/2020,1.32
31/10/2020,0.75
01/11/2020,1.68
02/11/2020,1.01
03/11/2020,1.38
04/11/2020,0.79
05/11/2020,0.31
06/11/2020,0.68
07/11/2020,0.85
08/11/2020,0.79
09/11/2020,0.72
10/11/2020,1.07
11/11/2020,0.85
12/11/2020,1.36
13/11/2020,0.99
14/11/2020,1.11
15/11/2020,1.32
16/11/2020,1.21
17/11/2020,1.23
18/11/2020,0.79
19/11/2020,1.88
20/11/2020,0.94
21/11/2020,0.89
22/11/2020,0.84
23/11/2020,1.21
24/11/2020,0.91
25/11/2020,0.9
26/11/2020,1.06
27/11/2020,0.88
28/11/2020,1.01
29/11/2020,1.96
30/11/2020,1.88
01/12/2020,1.56
02/12/2020,1.45
03/12/2020,0.97
04/12/2020,1.28
05/12/2020,1.27
06/12/2020,1.48
07/12/2020,1.14
08/12/2020,1.87
09/12/2020,1.95
10/12/2020,1.43
11/12/2020,1.52
12/12/2020,1.46
13/12/2020,1.49
14/12/2020,1.64
15/12/2020,1.66
16/12/2020,1.75
17/12/2020,1.84
18/12/2020,1.76
19/12/2020,1.76
20/12/2020,1.75
21/12/2020,1.51
22/12/2020,1.16
23/12/2020,1.28
24/12/2020,1.62
25/12/2020,1.79
26/12/2020,1.67
27/12/2020,1.77
28/12/2020,1.85
29/12/2020,1.92
30/12/2020,1.41
31/12/2020,1.05
